Hex_ID,Depth_m
67519,-16.58584808
67520,-16.23507996
67521,-15.80119249
67522,-15.56513481
67523,-15.50573843
67524,-15.41475445
67525,-14.77596088
67526,-14.62896404
67527,-14.25993773
67528,-13.98007458
67529,-13.84193301
67530,-13.73881024
67531,-13.51237755
67532,-12.9018962
67533,-12.28291422
67534,-11.71160607
67535,-11.24412762
67536,-10.81426549
67537,-10.28805807
67538,-9.802824902
67539,-9.075701843
67540,-8.072546214
67541,-7.297756297
67542,-7.03932556
67543,-7.264382172
67544,-7.759526949
67545,-8.115125011
67546,-7.756399814
67547,-6.894250694
67548,-6.334958089
67549,-6.127154494
67550,-6.052533467
67551,-5.939315378
67552,-5.611433647
67553,-5.555146385
67554,-5.218605299
67555,-4.642882592
67556,-3.913431768
67557,-3.209156442
67558,-2.718618361
67559,-2.571542745
67560,-2.359738668
67561,-2.294923147
67562,-2.106021596
67563,-1.871427195
67564,-1.609575736
67565,-1.335959152
67566,-1.139953166
67567,-1.13559224
67568,-1.18423026
67569,-1.234990897
67570,-1.205318943
67571,-1.385550311
67572,-1.533889513
67573,-1.62923442
67574,-1.719107422
67575,-1.800225145
67576,-1.870745695
67577,-1.926822651
67578,-1.962235169
67579,-1.969306104
67580,-1.948990919
67581,-1.908381044
67582,-1.850189683
67583,-1.778837643
67584,-1.703280045
67585,-1.59932796
67586,-1.077213245
67587,-0.433185877
67588,-0.100192476
67589,-0.001180869
67590,0
67591,0
67592,0
67641,0
67642,0
67643,0
70065,0
70066,0
70067,0
70068,0
70069,0
70070,0
70071,0
70072,0
70073,0
70076,0
70077,-0.221458503
70078,-1.650258427
70079,-4.423744514
70080,-12.87652682
70081,-19.10298398
70082,-18.81450856
70083,-18.62722813
70084,-18.68076207
70085,-18.92032768
70086,-18.94458085
70087,-18.18515395
70088,-17.37358023
70089,-16.9637006
70090,-17.36215884
70091,-17.18596494
70092,-16.88316249
70093,-16.69873654
70094,-16.4946583
70095,-16.56554118
70096,-17.023776
70097,-16.72673251
70098,-16.32607557
70099,-16.04402534
70100,-15.81940417
70101,-15.7483806
70102,-15.83523809
70103,-15.79773921
70104,-15.31385945
70105,-15.02042968
70106,-14.75419593
70107,-14.6167799
70108,-14.5261052
70109,-14.33236703
70110,-13.75839741
70111,-13.34717716
70112,-12.77576204
70113,-12.2607958
70114,-11.7820413
70115,-11.2072322
70116,-10.50397513
70117,-9.631134801
70118,-9.024392766
70119,-8.452911369
70120,-7.986372404
70121,-7.872093915
70122,-7.990522733
70123,-8.179694907
70124,-8.360271675
70125,-7.907069687
70126,-7.409510522
70127,-7.052734044
70128,-6.867997646
70129,-6.715147092
70130,-6.352026814
70131,-5.860997484
70132,-5.683435648
70133,-5.110465388
70134,-4.367097681
70135,-3.589688157
70136,-3.044411266
70137,-2.97463442
70138,-2.688343174
70139,-2.748844423
70140,-2.633142183
70141,-2.365011166
70142,-2.033969889
70143,-1.648213058
70144,-1.303986104
70145,-1.207928522
70146,-1.266604083
70147,-1.122452562
70148,-0.481971744
70149,-0.338267252
70150,-0.706951107
70151,-1.166910241
70152,-1.554376344
70153,-1.792099333
70154,-1.903272925
70155,-1.994800623
70156,-2.049695819
70157,-2.072213195
70158,-2.063000676
70159,-2.023218075
70160,-1.954998838
70161,-1.871927164
70162,-1.784018286
70163,-1.692815568
70164,-1.573491892
70165,-1.043739707
70166,-0.639931651
70167,-0.326532431
70168,-0.064823187
70169,-0.000945728
70170,0
70171,0
